year,source_url,source_sha256,size_bytes,csv_member,raw_columns,unique_raw_columns,schema_fingerprint,missing_pipeline_columns,pipeline_schema_compatible,raw_rows,labeled_before_duplicate_filter,duplicate_flagged_rows,duplicate_flagged_labeled_rows,eligible_rows,positive_rows,negative_rows,excluded_rows,positive_pct,class_counts,disease_code_counts,duplicate_flag_counts,notification_year_counts,notification_epi_year_counts,rows_outside_source_calendar_year,rows_outside_source_epi_year,eligible_rows_outside_source_calendar_year,eligible_rows_outside_source_epi_year,notification_date_min,notification_date_max,invalid_notification_dates,invalid_onset_dates,negative_notification_delays,over_90_day_notification_delays
2015,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Chikungunya/csv/CHIKBR15.csv.zip,abbe5968b54235436e396231019679a0e2feb7ac48531792afaf42beb0ad506d,602369,CHIKBR15.csv,38,38,58ac6304eeb5548f5e0f953e9e574b4cf179cec0a2a7e008ccd2abb6c63dec2b,"[""ARTRALGIA"", ""ARTRITE"", ""CEFALEIA"", ""CONJUNTVIT"", ""DOR_COSTAS"", ""DOR_RETRO"", ""EXANTEMA"", ""FEBRE"", ""HOSPITALIZ"", ""ID_UNIDADE"", ""MIALGIA"", ""NAUSEA"", ""PETEQUIA_N"", ""UF"", ""VOMITO""]",False,53271,33540,4,2,33538,18747,14791,19733,55.8978,"{"""": 1553, ""1"": 18077, ""13"": 670, ""2"": 13602, ""5"": 1191, ""8"": 18178}","{""A920"": 53271}","{"""": 53227, ""1"": 40, ""2"": 4}","{""2015"": 53271}","{""0150"": 5, ""0151"": 11, ""0152"": 6, ""0153"": 3, ""0154"": 10, ""0155"": 2, ""2014"": 65, ""2015"": 53169}",0,102,0,66,2015-01-01,2015-12-31,0,0,0,568
2016,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Chikungunya/csv/CHIKBR16.csv.zip,686c2594e31d67d59f9ff1a9077d4a3411f69d58c690dd0f1730b58f38b7348c,4030628,CHIKBR16.csv,38,38,58ac6304eeb5548f5e0f953e9e574b4cf179cec0a2a7e008ccd2abb6c63dec2b,"[""ARTRALGIA"", ""ARTRITE"", ""CEFALEIA"", ""CONJUNTVIT"", ""DOR_COSTAS"", ""DOR_RETRO"", ""EXANTEMA"", ""FEBRE"", ""HOSPITALIZ"", ""ID_UNIDADE"", ""MIALGIA"", ""NAUSEA"", ""PETEQUIA_N"", ""UF"", ""VOMITO""]",False,316602,237772,0,0,237772,160273,77499,78830,67.4062,"{"""": 41356, ""1"": 70727, ""10"": 1, ""13"": 89546, ""2"": 32131, ""5"": 45368, ""8"": 37473}","{""A92."": 316602}","{"""": 315967, ""1"": 635}","{""2016"": 316602}","{""0160"": 27, ""0161"": 28, ""0162"": 2, ""2016"": 316545}",0,57,0,24,2016-01-03,2016-12-31,0,0,0,5270
2017,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Chikungunya/csv/CHIKBR17.csv.zip,b3bc5d74eb0f094f1da46432b20c64104605cdbf6ddd431d6d5a43894a7e4f87,5829097,CHIKBR17.csv,116,116,41c67643c3777be267496c63beb4bf5bf6d0bd1635e45b24da91d1786b630945,[],True,247662,225979,0,0,225979,166345,59634,21683,73.6108,"{"""": 21633, ""1"": 22, ""13"": 166345, ""2"": 12, ""5"": 59634, ""8"": 16}","{""A92.0"": 247662}","{"""": 247591, ""1"": 71}","{""2017"": 247662}","{""2017"": 247662}",0,0,0,0,2017-01-01,2017-12-30,0,0,0,4102
2018,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Chikungunya/csv/CHIKBR18.csv.zip,620b14685a79864b8b6e2b6c3b2114cab686547aa354378504e2ffc211356326,2836698,CHIKBR18.csv,116,116,41c67643c3777be267496c63beb4bf5bf6d0bd1635e45b24da91d1786b630945,[],True,118779,105249,0,0,105249,74562,30687,13530,70.8434,"{"""": 13530, ""13"": 74562, ""5"": 30687}","{""A92.0"": 118779}","{"""": 118760, ""1"": 19}","{""2017"": 30, ""2018"": 118749}","{""2018"": 118779}",30,0,27,0,2017-12-31,2018-12-29,0,0,0,2313
2019,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Chikungunya/csv/CHIKBR19.csv.zip,1f225c6c8f2909e0c21cdb1c274d76cd35656495ebdd533bb985c9fb7b87df99,4241146,CHIKBR19.csv,116,116,41c67643c3777be267496c63beb4bf5bf6d0bd1635e45b24da91d1786b630945,[],True,178147,149927,0,0,149927,103579,46348,28220,69.0863,"{"""": 28218, ""10"": 1, ""13"": 103579, ""5"": 46348, ""8"": 1}","{""A92.0"": 178147}","{"""": 178104, ""1"": 43}","{""2018"": 16, ""2019"": 178131}","{""2019"": 178147}",16,0,14,0,2018-12-30,2019-12-28,0,0,0,1734
2020,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Chikungunya/csv/CHIKBR20.csv.zip,64c18e9d71fff1539fd9df00392ceb0e8bd659701250d9ef5802b23f3f6df3b8,2631366,CHIKBR20.csv,116,116,41c67643c3777be267496c63beb4bf5bf6d0bd1635e45b24da91d1786b630945,[],True,102496,72471,0,0,72471,43973,28498,30025,60.6767,"{"""": 30025, ""13"": 43973, ""5"": 28498}","{""A92.0"": 102496}","{"""": 102477, ""1"": 19}","{""2019"": 369, ""2020"": 102076, ""2021"": 51}","{""2020"": 102496}",420,0,325,0,2019-12-29,2021-01-02,0,0,0,1462
2021,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Chikungunya/csv/CHIKBR21.csv.zip,f1a9e2caeb25722bb5d5f28b11f9f5f372677884aaaf7981216d89c639602355,3622374,CHIKBR21.csv,122,122,4c30b8d6e2ec87e733bd72998bd556027784482d4109cff872ea71cbf03c4af9,[],True,128991,110854,0,0,110854,69195,41659,18137,62.4199,"{"""": 18133, ""!횄쨋"": 1, ""13"": 69195, ""5"": 41659, ""8"": 1, ""H0"": 1, ""횂짯횂혙"": 1}","{""A92.0"": 128991}","{"""": 128972, ""%"": 1, ""1"": 14, ""e"": 1, ""횂혴"": 1, ""횂쨋"": 1, ""횄혨"": 1}","{""2021"": 128938, ""2022"": 53}","{""2021"": 128991}",53,0,46,0,2021-01-03,2022-01-01,0,0,0,1131
2022,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Chikungunya/csv/CHIKBR22.csv.zip,a9bbe83fb7afa00e74037283d88e9f8025e28ebe9309ef88f257491cc8746a32,7936432,CHIKBR22.csv,122,122,4c30b8d6e2ec87e733bd72998bd556027784482d4109cff872ea71cbf03c4af9,[],True,274331,248184,0,0,248184,148605,99579,26147,59.8769,"{"""": 26069, ""0"": 74, ""1"": 2, ""13"": 148605, ""2"": 1, ""5"": 99579, ""8"": 1}","{""A92.0"": 274331}","{"""": 274309, ""1"": 22}","{""2022"": 274218, ""2023"": 113}","{""2022"": 274218, ""2023"": 113}",113,113,111,111,2022-01-02,2023-07-13,0,0,0,1114
2023,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Chikungunya/csv/CHIKBR23.csv.zip,26717439064f1d0c28874e30548d4e95cda946d21924a7e2d55ab1425a6f4e3f,6189039,CHIKBR23.csv,122,122,4c30b8d6e2ec87e733bd72998bd556027784482d4109cff872ea71cbf03c4af9,[],True,266442,238240,0,0,238240,130196,108044,28202,54.6491,"{"""": 27817, ""0"": 385, ""13"": 130196, ""5"": 108044}","{""A92.0"": 266442}","{"""": 266373, ""/"": 2, ""1"": 67}","{""2023"": 266296, ""2024"": 146}","{""2023"": 266336, ""2024"": 106}",146,106,112,79,2023-01-01,2024-05-20,0,0,0,1168
2024,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Chikungunya/csv/CHIKBR24.csv.zip,382239dee3cebe2fb21efaaa2e4c6513391b1dbdb3ddfdf3b51d407da44ae0ee,10240422,CHIKBR24.csv,122,122,4c30b8d6e2ec87e733bd72998bd556027784482d4109cff872ea71cbf03c4af9,[],True,426214,394223,0,0,394223,232047,162176,31991,58.8619,"{"""": 31991, ""13"": 232047, ""5"": 162176}","{""A92.0"": 426214}","{"""": 402556, ""0"": 22983, ""1"": 675}","{""2023"": 38, ""2024"": 425187, ""2025"": 989}","{""2024"": 425404, ""2025"": 810}",1027,810,1026,810,2023-12-31,2025-04-02,0,0,0,3568
2025,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Chikungunya/csv/CHIKBR25.csv.zip,8c49351839bbec39d2d00c6cc9135715063cc6eff3045674f0c79df40d1f257a,6338042,CHIKBR25.csv,122,122,4c30b8d6e2ec87e733bd72998bd556027784482d4109cff872ea71cbf03c4af9,[],True,253674,237344,0,0,237344,110473,126871,16330,46.5455,"{"""": 16281, ""0"": 48, ""13"": 110473, ""5"": 126871, ""8"": 1}","{""A92.0"": 247646, ""A920"": 6028}","{"""": 247311, ""0"": 6028, ""1"": 335}","{""2024"": 200, ""2025"": 251326, ""2026"": 2148}","{""2025"": 251871, ""2026"": 1803}",2348,1803,2134,1641,2024-12-29,2026-05-22,0,0,0,1111
2026,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Chikungunya/csv/CHIKBR26.csv.zip,871d361edac5326daa17844d50825a82cc0e03978a7cc5183927b4551ac8149a,2354033,CHIKBR26.csv,122,122,4c30b8d6e2ec87e733bd72998bd556027784482d4109cff872ea71cbf03c4af9,[],True,98802,83965,0,0,83965,41496,42469,14837,49.4206,"{"""": 14754, ""0"": 83, ""13"": 41496, ""5"": 42469}","{""A92.0"": 98108, ""A920"": 694}","{"""": 98086, ""0"": 694, ""1"": 22}","{""2026"": 98802}","{""2026"": 98802}",0,0,0,0,2026-01-04,2026-06-29,0,0,0,77
